,longitude,latitude,depth,county,prefmag,geo_region,well_distance,rup_area,radius,wells_qty
25931,-97.55283333,36.21066667,6.1,Logan,1.4,7,3.49117685,0.01,0.2,0
25932,-98.117,36.59383333,6.76,Alfalfa,2,7,2.449459975,0.02,0.41,0
25933,-97.75916667,35.25833333,5.43,Grady,2.2,7,2.820249962,0.03,0.46,0
25934,-97.77116667,35.33266667,7,Grady,2,9,1.634786144,0.02,0.42,0
25935,-97.707,35.06233333,7,McClain,0.8,7,2.63916169,0,0.11,0
25936,-97.67283333,35.11183333,7,McClain,0.6,7,0.808288774,0,0.08,0
25937,-97.67366667,36.69566667,7.51,Grant,2,9,8.713140777,0.02,0.43,0
25938,-98.987,36.5215,6.55,Woodward,1.9,7,1.959352544,0.02,0.36,0
25939,-98.74383333,36.47233333,8.25,Major,1.9,9,2.947022022,0.02,0.41,0
25940,-97.758,35.26466667,5.73,Grady,1.7,7,2.309132636,0.01,0.27,0
25941,-97.83016667,35.29183333,6.8,Grady,1.9,9,1.759172781,0.02,0.37,0
25942,-98.91233333,36.66666667,4.65,Woods,1.3,7,3.966640204,0,0.15,0
25943,-96.746,35.89916667,5.79,Payne,0.8,3,3.239310774,0,0.1,0
25944,-97.33833333,35.88633333,6.08,Logan,2,7,8.603217347,0.02,0.39,0
25945,-96.74483333,35.9005,6.39,Payne,1.4,3,3.259135536,0.01,0.2,0
25946,-98.98466667,36.525,6.22,Woodward,2.1,7,1.890401098,0.03,0.44,0
25947,-98.17166667,36.29483333,6.45,Blaine,2,9,2.438572957,0.02,0.4,0
25948,-98.9115,36.67466667,4.96,Woods,2,7,3.935837482,0.02,0.35,0
25949,-98.376,36.42216667,7.71,Alfalfa,2,9,1.886452161,0.02,0.44,0
25950,-98.3085,36.798,5,Alfalfa,2.1,9,0.509565931,0.03,0.4,4
25951,-97.17866667,36.2825,7.85,Noble,1.7,7,4.921079519,0.01,0.31,0
25952,-96.754,35.53766667,7.19,Lincoln,1.3,3,2.156140897,0,0.19,0
25953,-97.25866667,36.20066667,7.25,Noble,1.9,7,0.062616163,0.02,0.38,9
25954,-97.7155,36.62783333,7.41,Grant,1.9,7,0.675781254,0.02,0.38,2
25955,-96.89566667,36.42133333,3.73,Pawnee,0.8,3,3.449229194,0,0.08,0
25957,-97.65333333,36.93516667,6.34,Sumner,2.4,7,5.732160423,0.05,0.63,0
25958,-98.97133333,36.53033333,7.27,Woodward,0.7,7,2.29151654,0,0.1,0
25959,-98.97066667,36.53266667,7.09,Woodward,1.1,7,2.129420254,0,0.15,0
25960,-98.9885,36.50916667,8.56,Woodward,0.8,7,1.792598763,0,0.12,0
